ano,municipio,produto,variavel,valor
0,Jutaí - AM,Valor da produção,2020,10349.0
0,Jutaí - AM,Área colhida,2020,891.0
0,Lábrea - AM,Quantidade produzida,2020,
0,Lábrea - AM,Valor da produção,2020,15679.0
0,Lábrea - AM,Área colhida,2020,1733.0
0,Manacapuru - AM,Quantidade produzida,2020,
0,Manacapuru - AM,Valor da produção,2020,171756.0
0,Manacapuru - AM,Área colhida,2020,15146.0
0,Manaquiri - AM,Quantidade produzida,2020,
0,Manaquiri - AM,Valor da produção,2020,11031.0
0,Manaquiri - AM,Área colhida,2020,1242.0
0,Manaus - AM,Quantidade produzida,2020,
0,Manaus - AM,Valor da produção,2020,258.0
0,Manaus - AM,Área colhida,2020,16.0
0,Manicoré - AM,Quantidade produzida,2020,
0,Manicoré - AM,Valor da produção,2020,75000.0
0,Manicoré - AM,Área colhida,2020,6495.0
0,Maraã - AM,Quantidade produzida,2020,
0,Maraã - AM,Valor da produção,2020,705.0
0,Maraã - AM,Área colhida,2020,46.0
0,Maués - AM,Quantidade produzida,2020,
0,Maués - AM,Valor da produção,2020,23919.0
0,Maués - AM,Área colhida,2020,1955.0
0,Nhamundá - AM,Quantidade produzida,2020,
0,Nhamundá - AM,Valor da produção,2020,9323.0
0,Nhamundá - AM,Área colhida,2020,791.0
0,Nova Olinda do Norte - AM,Quantidade produzida,2020,
0,Nova Olinda do Norte - AM,Valor da produção,2020,11742.0
0,Nova Olinda do Norte - AM,Área colhida,2020,1539.0
0,Novo Airão - AM,Quantidade produzida,2020,
0,Novo Airão - AM,Valor da produção,2020,739.0
0,Novo Airão - AM,Área colhida,2020,45.0
0,Novo Aripuanã - AM,Quantidade produzida,2020,
0,Novo Aripuanã - AM,Valor da produção,2020,12610.0
0,Novo Aripuanã - AM,Área colhida,2020,1176.0
0,Parintins - AM,Quantidade produzida,2020,
0,Parintins - AM,Valor da produção,2020,29926.0
0,Parintins - AM,Área colhida,2020,2507.0
0,Pauini - AM,Quantidade produzida,2020,
0,Pauini - AM,Valor da produção,2020,9542.0
0,Pauini - AM,Área colhida,2020,1015.0
0,Presidente Figueiredo - AM,Quantidade produzida,2020,
0,Presidente Figueiredo - AM,Valor da produção,2020,75468.0
0,Presidente Figueiredo - AM,Área colhida,2020,3882.0
0,Rio Preto da Eva - AM,Quantidade produzida,2020,
0,Rio Preto da Eva - AM,Valor da produção,2020,1026.0
0,Rio Preto da Eva - AM,Área colhida,2020,201.0
0,Santa Isabel do Rio Negro - AM,Quantidade produzida,2020,
0,Santa Isabel do Rio Negro - AM,Valor da produção,2020,1696.0
0,Santa Isabel do Rio Negro - AM,Área colhida,2020,88.0
0,Santo Antônio do Içá - AM,Quantidade produzida,2020,
0,Santo Antônio do Içá - AM,Valor da produção,2020,9046.0
0,Santo Antônio do Içá - AM,Área colhida,2020,575.0
0,São Gabriel da Cachoeira - AM,Quantidade produzida,2020,
0,São Gabriel da Cachoeira - AM,Valor da produção,2020,4243.0
0,São Gabriel da Cachoeira - AM,Área colhida,2020,267.0
0,São Paulo de Olivença - AM,Quantidade produzida,2020,
0,São Paulo de Olivença - AM,Valor da produção,2020,4580.0
0,São Paulo de Olivença - AM,Área colhida,2020,202.0
0,São Sebastião do Uatumã - AM,Quantidade produzida,2020,
0,São Sebastião do Uatumã - AM,Valor da produção,2020,7341.0
0,São Sebastião do Uatumã - AM,Área colhida,2020,763.0
0,Silves - AM,Quantidade produzida,2020,
0,Silves - AM,Valor da produção,2020,8948.0
0,Silves - AM,Área colhida,2020,923.0
0,Tabatinga - AM,Quantidade produzida,2020,
0,Tabatinga - AM,Valor da produção,2020,3071.0
0,Tabatinga - AM,Área colhida,2020,153.0
0,Tapauá - AM,Quantidade produzida,2020,
0,Tapauá - AM,Valor da produção,2020,37302.0
0,Tapauá - AM,Área colhida,2020,2775.0
0,Tefé - AM,Quantidade produzida,2020,
0,Tefé - AM,Valor da produção,2020,112122.0
0,Tefé - AM,Área colhida,2020,8508.0
0,Tonantins - AM,Quantidade produzida,2020,
0,Tonantins - AM,Valor da produção,2020,5109.0
0,Tonantins - AM,Área colhida,2020,274.0
0,Uarini - AM,Quantidade produzida,2020,
0,Uarini - AM,Valor da produção,2020,69712.0
0,Uarini - AM,Área colhida,2020,6019.0
0,Urucará - AM,Quantidade produzida,2020,
0,Urucará - AM,Valor da produção,2020,7815.0
0,Urucará - AM,Área colhida,2020,556.0
0,Urucurituba - AM,Quantidade produzida,2020,
0,Urucurituba - AM,Valor da produção,2020,2810.0
0,Urucurituba - AM,Área colhida,2020,194.0
0,Amajari - RR,Quantidade produzida,2020,
0,Amajari - RR,Valor da produção,2020,13369.0
0,Amajari - RR,Área colhida,2020,1220.0
0,Alto Alegre - RR,Quantidade produzida,2020,
0,Alto Alegre - RR,Valor da produção,2020,206520.0
0,Alto Alegre - RR,Área colhida,2020,29500.0
0,Boa Vista - RR,Quantidade produzida,2020,
0,Boa Vista - RR,Valor da produção,2020,61674.0
0,Boa Vista - RR,Área colhida,2020,9950.0
0,Bonfim - RR,Quantidade produzida,2020,
0,Bonfim - RR,Valor da produção,2020,217976.0
0,Bonfim - RR,Área colhida,2020,29210.0
0,Cantá - RR,Quantidade produzida,2020,
0,Cantá - RR,Valor da produção,2020,35039.0
0,Cantá - RR,Área colhida,2020,3650.0
0,Caracaraí - RR,Quantidade produzida,2020,
0,Caracaraí - RR,Valor da produção,2020,6029.0
0,Caracaraí - RR,Área colhida,2020,818.0
0,Caroebe - RR,Quantidade produzida,2020,
0,Caroebe - RR,Valor da produção,2020,11484.0
0,Caroebe - RR,Área colhida,2020,535.0
0,Iracema - RR,Quantidade produzida,2020,
0,Iracema - RR,Valor da produção,2020,5717.0
0,Iracema - RR,Área colhida,2020,857.0
0,Mucajaí - RR,Quantidade produzida,2020,
0,Mucajaí - RR,Valor da produção,2020,9203.0
0,Mucajaí - RR,Área colhida,2020,1280.0
0,Normandia - RR,Quantidade produzida,2020,
0,Normandia - RR,Valor da produção,2020,48958.0
0,Normandia - RR,Área colhida,2020,4320.0
0,Pacaraima - RR,Quantidade produzida,2020,
0,Pacaraima - RR,Valor da produção,2020,5976.0
0,Pacaraima - RR,Área colhida,2020,517.0
0,Rorainópolis - RR,Quantidade produzida,2020,
0,Rorainópolis - RR,Valor da produção,2020,6645.0
0,Rorainópolis - RR,Área colhida,2020,720.0
0,São João da Baliza - RR,Quantidade produzida,2020,
0,São João da Baliza - RR,Valor da produção,2020,303.0
0,São João da Baliza - RR,Área colhida,2020,50.0
0,São Luiz - RR,Quantidade produzida,2020,
0,São Luiz - RR,Valor da produção,2020,1070.0
0,São Luiz - RR,Área colhida,2020,60.0
0,Uiramutã - RR,Quantidade produzida,2020,
0,Uiramutã - RR,Valor da produção,2020,11784.0
0,Uiramutã - RR,Área colhida,2020,1358.0
0,Abaetetuba - PA,Quantidade produzida,2020,
0,Abaetetuba - PA,Valor da produção,2020,39635.0
0,Abaetetuba - PA,Área colhida,2020,2410.0
0,Abel Figueiredo - PA,Quantidade produzida,2020,
0,Abel Figueiredo - PA,Valor da produção,2020,29471.0
0,Abel Figueiredo - PA,Área colhida,2020,6046.0
0,Acará - PA,Quantidade produzida,2020,
0,Acará - PA,Valor da produção,2020,113919.0
0,Acará - PA,Área colhida,2020,18450.0
0,Afuá - PA,Quantidade produzida,2020,
0,Afuá - PA,Valor da produção,2020,528.0
0,Afuá - PA,Área colhida,2020,114.0
0,Água Azul do Norte - PA,Quantidade produzida,2020,
0,Água Azul do Norte - PA,Valor da produção,2020,25844.0
0,Água Azul do Norte - PA,Área colhida,2020,5544.0
0,Alenquer - PA,Quantidade produzida,2020,
0,Alenquer - PA,Valor da produção,2020,77610.0
0,Alenquer - PA,Área colhida,2020,11527.0
0,Almeirim - PA,Quantidade produzida,2020,
0,Almeirim - PA,Valor da produção,2020,3238.0
0,Almeirim - PA,Área colhida,2020,391.0
0,Altamira - PA,Quantidade produzida,2020,
0,Altamira - PA,Valor da produção,2020,114000.0
0,Altamira - PA,Área colhida,2020,28979.0
0,Anajás - PA,Quantidade produzida,2020,
0,Anajás - PA,Valor da produção,2020,2250.0
0,Anajás - PA,Área colhida,2020,324.0
0,Ananindeua - PA,Quantidade produzida,2020,
0,Ananindeua - PA,Valor da produção,2020,
0,Ananindeua - PA,Área colhida,2020,
0,Anapu - PA,Quantidade produzida,2020,
0,Anapu - PA,Valor da produção,2020,6772.0
0,Anapu - PA,Área colhida,2020,1415.0
0,Augusto Corrêa - PA,Quantidade produzida,2020,
0,Augusto Corrêa - PA,Valor da produção,2020,12437.0
0,Augusto Corrêa - PA,Área colhida,2020,2101.0
0,Aurora do Pará - PA,Quantidade produzida,2020,
0,Aurora do Pará - PA,Valor da produção,2020,14229.0
0,Aurora do Pará - PA,Área colhida,2020,2322.0
0,Aveiro - PA,Quantidade produzida,2020,
0,Aveiro - PA,Valor da produção,2020,7801.0
0,Aveiro - PA,Área colhida,2020,2179.0
0,Bagre - PA,Quantidade produzida,2020,
0,Bagre - PA,Valor da produção,2020,10860.0
0,Bagre - PA,Área colhida,2020,2312.0
0,Baião - PA,Quantidade produzida,2020,
0,Baião - PA,Valor da produção,2020,109380.0
0,Baião - PA,Área colhida,2020,10250.0
0,Bannach - PA,Quantidade produzida,2020,
0,Bannach - PA,Valor da produção,2020,469.0
0,Bannach - PA,Área colhida,2020,90.0
0,Barcarena - PA,Quantidade produzida,2020,
0,Barcarena - PA,Valor da produção,2020,31133.0
0,Barcarena - PA,Área colhida,2020,1942.0
0,Belém - PA,Quantidade produzida,2020,
0,Belém - PA,Valor da produção,2020,
0,Belém - PA,Área colhida,2020,
0,Belterra - PA,Quantidade produzida,2020,
0,Belterra - PA,Valor da produção,2020,92353.0
0,Belterra - PA,Área colhida,2020,31555.0
0,Benevides - PA,Quantidade produzida,2020,
0,Benevides - PA,Valor da produção,2020,
0,Benevides - PA,Área colhida,2020,
0,Bom Jesus do Tocantins - PA,Quantidade produzida,2020,
0,Bom Jesus do Tocantins - PA,Valor da produção,2020,2509.0
0,Bom Jesus do Tocantins - PA,Área colhida,2020,743.0
0,Bonito - PA,Quantidade produzida,2020,
0,Bonito - PA,Valor da produção,2020,2798.0
0,Bonito - PA,Área colhida,2020,755.0
0,Bragança - PA,Quantidade produzida,2020,
0,Bragança - PA,Valor da produção,2020,54412.0
0,Bragança - PA,Área colhida,2020,7528.0
