ano,municipio,valor_r,area_ha
2020,Avanhandava - SP,111103.0,24212.0
2020,Avaré - SP,192384.0,29890.0
2020,Avaí - SP,27280.0,2718.0
2020,Aveiro - PA,7801.0,2179.0
2020,Avelino Lopes - PI,2789.0,2025.0
2020,Avelinópolis - GO,14128.0,3252.0
2020,Axixá - MA,944.0,402.0
2020,Axixá do Tocantins - TO,1112.0,263.0
2020,Açailândia - MA,311038.0,61287.0
2020,Açu - RN,5081.0,1697.0
2020,Açucena - MG,2574.0,708.0
2020,Babaçulândia - TO,11324.0,3308.0
2020,Bacabal - MA,3173.0,2620.0
2020,Bacabeira - MA,503.0,186.0
2020,Bacuri - MA,1455.0,880.0
2020,Bacurituba - MA,850.0,377.0
2020,Bady Bassitt - SP,20716.0,3471.0
2020,Baependi - MG,5495.0,1255.0
2020,Bagre - PA,10860.0,2312.0
2020,Bagé - RS,174640.0,49103.0
2020,Baianópolis - BA,153336.0,23525.0
2020,Baixa Grande - BA,2900.0,3399.0
2020,Baixa Grande do Ribeiro - PI,1226608.0,264749.0
2020,Baixio - CE,1490.0,950.0
2020,Baixo Guandu - ES,2813.0,99.0
2020,Baião - PA,109380.0,10250.0
2020,Balbinos - SP,33146.0,5276.0
2020,Baldim - MG,8646.0,1187.0
2020,Baliza - GO,35377.0,8340.0
2020,Balneário Barra do Sul - SC,321.0,15.0
2020,Balneário Gaivota - SC,2678.0,180.0
2020,Balneário Pinhal - RS,3711.0,608.0
2020,Balneário Piçarras - SC,3604.0,425.0
2020,Balneário Rincão - SC,2132.0,116.0
2020,Balsa Nova - PR,125274.0,21169.0
2020,Balsas - MA,1696935.0,324108.0
2020,Bambuí - MG,166086.0,31566.0
2020,Banabuiú - CE,2563.0,2642.0
2020,Bananal - SP,1400.0,336.0
2020,Bananeiras - PB,3796.0,1766.0
2020,Bandeira - MG,537.0,155.0
2020,Bandeira do Sul - MG,343.0,68.0
2020,Bandeirante - SC,11532.0,2530.0
2020,Bandeirantes - MS,362481.0,94471.0
2020,Bandeirantes - PR,205493.0,43033.0
2020,Bandeirantes do Tocantins - TO,1730.0,355.0
